pid,persona_suffix,persona_id,condition,description_answer,description_yes,image_answer,image_yes,relatable_answer,usefulness_answer,is_stereo
6a059c51ac58ebeefab58af0,richard,a_us_richard,non_stereo,Yes,1.0,No,0.0,Strongly disagree,Somewhat disagree,False
6a059c51ac58ebeefab58af0,margart,a_us_margaret,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Somewhat agree,False
6a059c51ac58ebeefab58af0,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Neither agree nor disagree,True
6a059c51ac58ebeefab58af0,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
6a059c51ac58ebeefab58af0,ray,a_s_ray,stereo,No,0.0,No,0.0,Strongly disagree,Somewhat disagree,True
69fcc31349e5e57fd6f856d2,mei,a_us_mei,non_stereo,No,0.0,No,0.0,Somewhat agree,Somewhat agree,False
69fcc31349e5e57fd6f856d2,richard,a_us_richard,non_stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Somewhat agree,False
69fcc31349e5e57fd6f856d2,margart,a_us_margaret,non_stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Somewhat agree,False
69fcc31349e5e57fd6f856d2,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat disagree,True
69fcc31349e5e57fd6f856d2,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
69fcc31349e5e57fd6f856d2,ray,a_s_ray,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Somewhat agree,True
69fae3c2343e7643b421c19a,marcus,a_us_marcus,non_stereo,No,0.0,Yes,1.0,Strongly agree,Strongly agree,False
69fae3c2343e7643b421c19a,marlinq,a_us_marcus_linq,non_stereo,No,0.0,Yes,1.0,Strongly agree,Strongly agree,False
69fae3c2343e7643b421c19a,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Somewhat agree,Somewhat agree,False
69fae3c2343e7643b421c19a,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Strongly disagree,True
69fae3c2343e7643b421c19a,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
69fae3c2343e7643b421c19a,aisha,a_s_aisha,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
6a019c3cc3985370727003c9,mei,a_us_mei,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat agree,False
6a019c3cc3985370727003c9,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Strongly agree,Strongly agree,False
6a019c3cc3985370727003c9,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Strongly agree,Strongly agree,False
6a019c3cc3985370727003c9,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Strongly agree,Somewhat agree,True
6a019c3cc3985370727003c9,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
6a019c3cc3985370727003c9,ray,a_s_ray,stereo,Yes,1.0,No,0.0,Somewhat agree,Somewhat agree,True
5dcfb0ffcc19200baabf0e8a,mei,a_us_mei,non_stereo,No,0.0,No,0.0,Somewhat agree,Neither agree nor disagree,False
5dcfb0ffcc19200baabf0e8a,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Neither agree nor disagree,False
5dcfb0ffcc19200baabf0e8a,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Strongly agree,Neither agree nor disagree,False
5dcfb0ffcc19200baabf0e8a,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat disagree,True
5dcfb0ffcc19200baabf0e8a,sofia,a_s_sofia,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Strongly disagree,True
5dcfb0ffcc19200baabf0e8a,james,a_s_james,stereo,Yes,1.0,No,0.0,Strongly disagree,Somewhat disagree,True
5b2e41eb1d2f710001fb32db,eleanor,a_us_eleanor,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat agree,False
5b2e41eb1d2f710001fb32db,marlinq,a_us_marcus_linq,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat agree,False
5b2e41eb1d2f710001fb32db,margart,a_us_margaret,non_stereo,No,0.0,Yes,1.0,Neither agree nor disagree,Somewhat agree,False
5b2e41eb1d2f710001fb32db,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
5b2e41eb1d2f710001fb32db,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
5b2e41eb1d2f710001fb32db,james,a_s_james,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
6a0061939b0d50b1177ab27d,eleanor,a_us_eleanor,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Somewhat agree,False
6a0061939b0d50b1177ab27d,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Somewhat agree,False
6a0061939b0d50b1177ab27d,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Somewhat agree,False
6a0061939b0d50b1177ab27d,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat disagree,True
6a0061939b0d50b1177ab27d,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat disagree,True
6a0061939b0d50b1177ab27d,aisha,a_s_aisha,stereo,Yes,1.0,No,0.0,Somewhat disagree,Strongly disagree,True
6a024451660d5009a74c4f91,eleanor,a_us_eleanor,non_stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,False
6a024451660d5009a74c4f91,richard,a_us_richard,non_stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,False
6a024451660d5009a74c4f91,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Strongly agree,Strongly agree,False
6a024451660d5009a74c4f91,bernie,a_s_bernie,stereo,No,0.0,Yes,1.0,Strongly agree,Strongly agree,True
6a024451660d5009a74c4f91,sofia,a_s_sofia,stereo,No,0.0,Yes,1.0,Strongly agree,Somewhat agree,True
6a024451660d5009a74c4f91,aisha,a_s_aisha,stereo,No,0.0,No,0.0,Strongly agree,Strongly agree,True
6a06fd0bc37e38e12e6f8a84,marcus,a_us_marcus,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Somewhat agree,False
6a06fd0bc37e38e12e6f8a84,richard,a_us_richard,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Somewhat agree,False
6a06fd0bc37e38e12e6f8a84,margart,a_us_margaret,non_stereo,No,0.0,Yes,1.0,Neither agree nor disagree,Neither agree nor disagree,False
6a06fd0bc37e38e12e6f8a84,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Somewhat agree,Somewhat agree,True
6a06fd0bc37e38e12e6f8a84,sofia,a_s_sofia,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat disagree,True
6a06fd0bc37e38e12e6f8a84,ray,a_s_ray,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat agree,True
69e9d244cea06249bef8f5a6,marcus,a_us_marcus,non_stereo,No,0.0,No,0.0,Strongly agree,Somewhat agree,False
69e9d244cea06249bef8f5a6,marlinq,a_us_marcus_linq,non_stereo,No,0.0,Yes,1.0,Strongly agree,Somewhat agree,False
69e9d244cea06249bef8f5a6,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,False
69e9d244cea06249bef8f5a6,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat agree,Somewhat agree,True
69e9d244cea06249bef8f5a6,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Somewhat agree,Somewhat agree,True
69e9d244cea06249bef8f5a6,aisha,a_s_aisha,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat disagree,True
69fda86187f72c3aacbd992c,marcus,a_us_marcus,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat agree,False
69fda86187f72c3aacbd992c,marlinq,a_us_marcus_linq,non_stereo,No,0.0,No,0.0,Somewhat agree,Somewhat agree,False
69fda86187f72c3aacbd992c,richard,a_us_richard,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat agree,False
69fda86187f72c3aacbd992c,sofia,a_s_sofia,stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Strongly disagree,True
69fda86187f72c3aacbd992c,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
69fda86187f72c3aacbd992c,james,a_s_james,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
6a01aecb7688850cde90be09,eleanor,a_us_eleanor,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Somewhat disagree,False
6a01aecb7688850cde90be09,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Strongly agree,Neither agree nor disagree,False
6a01aecb7688850cde90be09,margart,a_us_margaret,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Somewhat disagree,False
6a01aecb7688850cde90be09,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat disagree,True
6a01aecb7688850cde90be09,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat agree,True
6a01aecb7688850cde90be09,ray,a_s_ray,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Somewhat disagree,True
69fdd231a69b899937c5139e,mei,a_us_mei,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Neither agree nor disagree,False
69fdd231a69b899937c5139e,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Neither agree nor disagree,False
69fdd231a69b899937c5139e,richard,a_us_richard,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Neither agree nor disagree,False
69fdd231a69b899937c5139e,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Somewhat disagree,True
69fdd231a69b899937c5139e,caroline,a_s_caroline,stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Somewhat agree,True
69fdd231a69b899937c5139e,ray,a_s_ray,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat disagree,True
69fe00b34adec4f226d8b9c4,marcus,a_us_marcus,non_stereo,No,0.0,Yes,1.0,Strongly agree,Somewhat agree,False
69fe00b34adec4f226d8b9c4,marlinq,a_us_marcus_linq,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat agree,False
69fe00b34adec4f226d8b9c4,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Somewhat agree,Strongly agree,False
69fe00b34adec4f226d8b9c4,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat agree,Neither agree nor disagree,True
69fe00b34adec4f226d8b9c4,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat disagree,True
69fe00b34adec4f226d8b9c4,aisha,a_s_aisha,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat agree,True
69fd9cbe9b919247050be2ad,mei,a_us_mei,non_stereo,No,0.0,No,0.0,Somewhat agree,Neither agree nor disagree,False
69fd9cbe9b919247050be2ad,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Strongly agree,Neither agree nor disagree,False
69fd9cbe9b919247050be2ad,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Strongly disagree,Neither agree nor disagree,False
69fd9cbe9b919247050be2ad,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Neither agree nor disagree,Somewhat agree,True
69fd9cbe9b919247050be2ad,caroline,a_s_caroline,stereo,No,0.0,No,0.0,Somewhat agree,Neither agree nor disagree,True
69fd9cbe9b919247050be2ad,james,a_s_james,stereo,No,0.0,No,0.0,Strongly disagree,Strongly disagree,True
6979f7df3438942e2dd5141e,eleanor,a_us_eleanor,non_stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,False
6979f7df3438942e2dd5141e,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,False
6979f7df3438942e2dd5141e,margart,a_us_margaret,non_stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,False
6979f7df3438942e2dd5141e,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,True
6979f7df3438942e2dd5141e,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,True
6979f7df3438942e2dd5141e,ray,a_s_ray,stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,True
6a00e9e22e96d39a0a628056,mei,a_us_mei,non_stereo,No,0.0,No,0.0,Somewhat agree,Strongly agree,False
6a00e9e22e96d39a0a628056,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,No,0.0,Somewhat agree,Somewhat agree,False
6a00e9e22e96d39a0a628056,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Somewhat disagree,Strongly agree,False
6a00e9e22e96d39a0a628056,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat agree,True
6a00e9e22e96d39a0a628056,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Neither agree nor disagree,Somewhat agree,True
6a00e9e22e96d39a0a628056,aisha,a_s_aisha,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat disagree,True
673dbbee9983e0d8084c8a76,mei,a_us_mei,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Strongly disagree,False
673dbbee9983e0d8084c8a76,richard,a_us_richard,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Neither agree nor disagree,False
673dbbee9983e0d8084c8a76,margart,a_us_margaret,non_stereo,Yes,1.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,False
673dbbee9983e0d8084c8a76,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Strongly disagree,Strongly disagree,True
673dbbee9983e0d8084c8a76,caroline,a_s_caroline,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Strongly disagree,True
673dbbee9983e0d8084c8a76,ray,a_s_ray,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Somewhat disagree,True
67665f7b0329bd3e30515ad2,marcus,a_us_marcus,non_stereo,No,0.0,Yes,1.0,Strongly agree,Somewhat agree,False
67665f7b0329bd3e30515ad2,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Strongly agree,Somewhat agree,False
67665f7b0329bd3e30515ad2,margart,a_us_margaret,non_stereo,Yes,1.0,No,0.0,Somewhat disagree,Strongly agree,False
67665f7b0329bd3e30515ad2,sofia,a_s_sofia,stereo,No,0.0,No,0.0,Somewhat disagree,Somewhat disagree,True
67665f7b0329bd3e30515ad2,caroline,a_s_caroline,stereo,Yes,1.0,Yes,1.0,Somewhat agree,Strongly agree,True
67665f7b0329bd3e30515ad2,james,a_s_james,stereo,Yes,1.0,Yes,1.0,Strongly agree,Strongly agree,True
69f08347f86aa709895ccc23,marcus,a_us_marcus,non_stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat disagree,False
69f08347f86aa709895ccc23,richard,a_us_richard,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Neither agree nor disagree,False
69f08347f86aa709895ccc23,margart,a_us_margaret,non_stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Somewhat agree,False
69f08347f86aa709895ccc23,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Strongly disagree,True
69f08347f86aa709895ccc23,caroline,a_s_caroline,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Somewhat agree,True
69f08347f86aa709895ccc23,aisha,a_s_aisha,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat agree,True
69eddd8913c2470a6e65ef49,eleanor,a_us_eleanor,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,False
69eddd8913c2470a6e65ef49,marlinq,a_us_marcus_linq,non_stereo,No,0.0,Yes,1.0,Somewhat disagree,Neither agree nor disagree,False
69eddd8913c2470a6e65ef49,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,False
69eddd8913c2470a6e65ef49,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat agree,Neither agree nor disagree,True
69eddd8913c2470a6e65ef49,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Strongly agree,Neither agree nor disagree,True
69eddd8913c2470a6e65ef49,ray,a_s_ray,stereo,Yes,1.0,No,0.0,Somewhat disagree,Neither agree nor disagree,True
6a0f0c6d8029aec5b6672ac8,eleanor,a_us_eleanor,non_stereo,Yes,1.0,No,0.0,Somewhat disagree,Neither agree nor disagree,False
6a0f0c6d8029aec5b6672ac8,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Neither agree nor disagree,False
6a0f0c6d8029aec5b6672ac8,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Somewhat agree,Somewhat agree,False
6a0f0c6d8029aec5b6672ac8,sofia,a_s_sofia,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat disagree,True
6a0f0c6d8029aec5b6672ac8,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Strongly disagree,Neither agree nor disagree,True
6a0f0c6d8029aec5b6672ac8,james,a_s_james,stereo,Yes,1.0,No,0.0,Strongly disagree,Somewhat disagree,True
6a064e2a606d74651b3d43ec,mei,a_us_mei,non_stereo,Yes,1.0,Yes,1.0,Strongly disagree,Neither agree nor disagree,False
6a064e2a606d74651b3d43ec,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Strongly disagree,Neither agree nor disagree,False
6a064e2a606d74651b3d43ec,margart,a_us_margaret,non_stereo,Yes,1.0,Yes,1.0,Strongly disagree,Somewhat disagree,False
6a064e2a606d74651b3d43ec,sofia,a_s_sofia,stereo,No,0.0,Yes,1.0,Somewhat disagree,Somewhat disagree,True
6a064e2a606d74651b3d43ec,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Somewhat agree,Neither agree nor disagree,True
6a064e2a606d74651b3d43ec,aisha,a_s_aisha,stereo,Yes,1.0,No,0.0,Somewhat agree,Neither agree nor disagree,True
6a0afedaee3a908a64442c72,marcus,a_us_marcus,non_stereo,No,0.0,No,0.0,Somewhat agree,Neither agree nor disagree,False
6a0afedaee3a908a64442c72,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Strongly disagree,Neither agree nor disagree,False
6a0afedaee3a908a64442c72,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Somewhat agree,Strongly disagree,False
6a0afedaee3a908a64442c72,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Somewhat disagree,True
6a0afedaee3a908a64442c72,sofia,a_s_sofia,stereo,No,0.0,No,0.0,Strongly disagree,Neither agree nor disagree,True
6a0afedaee3a908a64442c72,aisha,a_s_aisha,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Strongly disagree,True
6a0b32ff7a776cae6829e7ef,mei,a_us_mei,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Neither agree nor disagree,False
6a0b32ff7a776cae6829e7ef,richard,a_us_richard,non_stereo,No,0.0,Yes,1.0,Neither agree nor disagree,Neither agree nor disagree,False
6a0b32ff7a776cae6829e7ef,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Somewhat agree,Neither agree nor disagree,False
6a0b32ff7a776cae6829e7ef,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Neither agree nor disagree,Neither agree nor disagree,True
6a0b32ff7a776cae6829e7ef,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat disagree,True
6a0b32ff7a776cae6829e7ef,james,a_s_james,stereo,No,0.0,No,0.0,Strongly disagree,Somewhat disagree,True
6a01b5dcbf58444d468b0dc9,marcus,a_us_marcus,non_stereo,No,0.0,Yes,1.0,Strongly agree,Somewhat agree,False
6a01b5dcbf58444d468b0dc9,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Strongly disagree,Strongly agree,False
6a01b5dcbf58444d468b0dc9,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Somewhat disagree,Somewhat agree,False
6a01b5dcbf58444d468b0dc9,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Somewhat disagree,Somewhat agree,True
6a01b5dcbf58444d468b0dc9,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat agree,True
6a01b5dcbf58444d468b0dc9,ray,a_s_ray,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Somewhat agree,True
6a0ce43ed2a41c5612a0fd8d,mei,a_us_mei,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Strongly agree,False
6a0ce43ed2a41c5612a0fd8d,marlinq,a_us_marcus_linq,non_stereo,No,0.0,No,0.0,Somewhat agree,Strongly agree,False
6a0ce43ed2a41c5612a0fd8d,richard,a_us_richard,non_stereo,No,0.0,No,0.0,Somewhat agree,Strongly agree,False
6a0ce43ed2a41c5612a0fd8d,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Somewhat agree,Strongly agree,True
6a0ce43ed2a41c5612a0fd8d,sofia,a_s_sofia,stereo,Yes,1.0,No,0.0,Somewhat agree,Somewhat agree,True
6a0ce43ed2a41c5612a0fd8d,ray,a_s_ray,stereo,Yes,1.0,Yes,1.0,Strongly agree,Strongly agree,True
6a01c906bb9ef1bc269e5b64,eleanor,a_us_eleanor,non_stereo,No,0.0,No,0.0,Neither agree nor disagree,Somewhat agree,False
6a01c906bb9ef1bc269e5b64,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Strongly agree,Somewhat agree,False
6a01c906bb9ef1bc269e5b64,richard,a_us_richard,non_stereo,No,0.0,Yes,1.0,Somewhat agree,Somewhat agree,False
6a01c906bb9ef1bc269e5b64,bernie,a_s_bernie,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Neither agree nor disagree,True
6a01c906bb9ef1bc269e5b64,caroline,a_s_caroline,stereo,Yes,1.0,No,0.0,Somewhat disagree,Somewhat agree,True
6a01c906bb9ef1bc269e5b64,james,a_s_james,stereo,No,0.0,No,0.0,Strongly disagree,Strongly disagree,True
69f331531bee06f757511b5d,mei,a_us_mei,non_stereo,No,0.0,No,0.0,Strongly agree,Strongly disagree,False
69f331531bee06f757511b5d,marlinq,a_us_marcus_linq,non_stereo,No,0.0,Yes,1.0,Strongly agree,Strongly disagree,False
69f331531bee06f757511b5d,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Strongly agree,Strongly disagree,False
69f331531bee06f757511b5d,bernie,a_s_bernie,stereo,No,0.0,No,0.0,Neither agree nor disagree,Strongly disagree,True
69f331531bee06f757511b5d,caroline,a_s_caroline,stereo,No,0.0,No,0.0,Strongly disagree,Strongly disagree,True
69f331531bee06f757511b5d,aisha,a_s_aisha,stereo,No,0.0,No,0.0,Strongly disagree,Strongly disagree,True
69f09ea0aaaf87cae17b2181,mei,a_us_mei,non_stereo,Yes,1.0,Yes,1.0,Somewhat agree,Somewhat agree,False
69f09ea0aaaf87cae17b2181,richard,a_us_richard,non_stereo,Yes,1.0,No,0.0,Strongly agree,Strongly agree,False
69f09ea0aaaf87cae17b2181,margart,a_us_margaret,non_stereo,No,0.0,No,0.0,Somewhat disagree,Strongly disagree,False
69f09ea0aaaf87cae17b2181,bernie,a_s_bernie,stereo,Yes,1.0,No,0.0,Somewhat agree,Somewhat agree,True
69f09ea0aaaf87cae17b2181,sofia,a_s_sofia,stereo,No,0.0,No,0.0,Strongly disagree,Somewhat disagree,True
69f09ea0aaaf87cae17b2181,james,a_s_james,stereo,Yes,1.0,Yes,1.0,Strongly disagree,Strongly disagree,True
6a0b135d47338dcc5f7d97fc,eleanor,a_us_eleanor,non_stereo,Yes,1.0,No,0.0,Somewhat agree,Neither agree nor disagree,False
6a0b135d47338dcc5f7d97fc,marlinq,a_us_marcus_linq,non_stereo,Yes,1.0,Yes,1.0,Strongly agree,Somewhat agree,False
